step,loss,samples_processed,tokens_seen
632,0.456518,2528,217593
633,0.80764,2532,218052
634,0.656451,2536,218437
635,0.735081,2540,218750
636,0.559457,2544,218994
637,0.533196,2548,219350
638,0.691703,2552,219651
639,0.509862,2556,219933
640,0.811509,2560,220080
641,0.634557,2564,220386
642,0.569045,2568,220988
643,1.214825,2572,221202
644,0.572463,2576,221466
645,0.626151,2580,221869
646,0.581308,2584,222168
647,0.2517,2588,222630
648,0.642417,2592,222948
649,0.55222,2596,223280
650,0.625032,2600,223571
651,0.567363,2604,223921
652,0.575739,2608,224233
653,0.86464,2612,224518
654,0.449675,2616,224842
655,0.692307,2620,225221
656,1.460594,2624,225508
657,0.320751,2628,225908
658,0.211837,2632,226167
659,0.418918,2636,226589
660,0.36848,2640,226839
661,0.366495,2644,227337
662,0.508584,2648,227655
663,0.332476,2652,227849
664,0.691314,2656,228156
665,0.288289,2660,228547
666,0.435006,2664,228757
667,0.633823,2668,229119
668,0.816542,2672,229822
669,0.626446,2676,230063
670,0.938353,2680,230448
671,0.435139,2684,230939
672,0.70263,2688,231236
673,0.947875,2692,231528
674,0.421635,2696,231805
675,0.528746,2700,232099
676,0.757179,2704,232390
677,0.666404,2708,232663
678,0.928832,2712,233066
679,0.530207,2716,233468
680,0.730854,2720,234001
681,0.359256,2724,234351
682,1.351373,2728,234653
683,0.807022,2732,234962
684,0.567124,2736,235466
685,0.957259,2740,235722
686,0.579067,2744,236125
687,0.323866,2748,236579
688,0.427786,2752,236809
689,0.788873,2756,237273
690,0.925809,2760,237555
691,0.73905,2764,237909
692,0.756754,2768,238245
693,0.396511,2772,238902
694,0.430828,2776,239391
695,0.517787,2780,239700
696,0.633618,2784,239883
697,0.830169,2788,240115
698,1.059803,2792,240452
699,0.86215,2796,240865
700,0.443304,2800,241341
701,0.631632,2804,241849
702,0.521695,2808,242117
703,1.077233,2812,242443
704,0.366917,2816,242798
705,1.121403,2820,243163
706,0.745644,2824,243617
707,0.622593,2828,243957
708,0.43185,2832,244413
709,0.880042,2836,244874
710,0.593683,2840,245138
711,0.395367,2844,245396
712,0.581122,2848,245706
713,0.648344,2852,246013
714,0.777467,2856,246263
715,0.952087,2860,246548
716,0.4824,2864,246923
717,0.364273,2868,247488
718,0.538926,2872,247936
719,0.382796,2876,248223
720,0.900187,2880,248643
721,0.352107,2884,248879
722,0.419455,2888,249398
723,0.431024,2892,249830
724,1.221092,2896,250069
725,1.031722,2900,250295
726,0.5809,2904,250636
727,0.770021,2908,251075
728,1.627056,2912,251411
729,0.743716,2916,251686
730,0.380657,2920,252010
731,0.193755,2924,252349
732,0.702637,2928,252703
733,0.352522,2932,253034
734,0.811932,2936,253666
735,1.463069,2940,253838
736,0.565557,2944,254053
737,0.386438,2948,254344
738,1.082393,2952,254634
739,0.432539,2956,254904
740,0.461948,2960,255216
741,0.594921,2964,255470
742,0.800656,2968,255817
743,0.69947,2972,256158
744,0.706415,2976,256454
745,0.797211,2980,256774
746,0.350348,2984,257109
747,0.280396,2988,257345
748,0.675905,2992,257847
749,0.681972,2996,258114
750,0.608731,3000,258553
751,0.647461,3004,259111
752,0.737443,3008,259369
753,0.497958,3012,259723
754,0.754302,3016,260001
755,0.831031,3020,260257
756,0.322516,3024,260693
757,0.597216,3028,260955
758,0.584689,3032,261573
759,0.613004,3036,261836
760,1.173674,3040,262042
761,0.522759,3044,262224
762,0.616184,3048,262389
763,0.765397,3052,262659
764,0.72986,3056,263001
765,0.453665,3060,263428
766,0.418466,3064,263787
767,0.839558,3068,264003
768,0.631729,3072,264492
769,0.859471,3076,264930
770,0.333406,3080,265300
771,0.601373,3084,265594
772,0.678324,3088,265832
773,0.384634,3092,266178
774,0.475281,3096,266393
775,0.566157,3100,266705
776,0.374083,3104,267036
