step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
348,9534.017,282.189,5.807,0.0,8.097
349,9530.298,282.694,5.962,0.0,8.218
350,9522.122,285.561,5.565,0.0,7.557
351,9545.201,283.528,5.979,0.0,7.758
352,9539.834,281.612,6.244,0.0,8.413
353,9521.38,339.516,5.89,0.0,8.205
354,9534.864,281.545,5.689,0.0,15.651
355,9554.423,280.844,7.265,0.0,8.031
356,9528.083,281.127,6.11,0.0,13.48
357,9536.726,281.036,6.28,0.0,11.439
358,9542.046,281.384,5.542,0.0,8.153
359,9541.353,281.483,5.993,0.0,7.523
360,9539.316,281.472,6.386,0.0,7.927
361,9536.895,281.194,5.947,0.0,7.565
362,9527.553,281.118,6.28,0.0,8.208
363,9539.678,281.185,5.786,0.0,8.382
364,9531.353,282.709,5.788,0.0,8.031
365,9528.761,282.956,5.775,0.0,7.951
366,9546.442,281.742,5.515,0.0,8.147
367,9542.915,281.745,5.776,0.0,8.052
368,9514.1,346.609,5.83,0.0,8.583
369,9526.503,281.262,5.94,42641.891,26.374
370,9521.487,281.602,39.266,0.0,8.002
371,9426.524,353.441,4.122,0.0,4.64
372,9429.727,331.922,6.304,0.0,4.571
373,9406.431,357.859,5.594,0.0,4.553
374,9404.549,358.756,5.644,0.0,4.728
375,9425.837,322.624,6.408,0.0,4.574
376,9390.604,372.023,5.901,0.0,7.366
377,9399.612,364.546,4.597,0.0,7.262
378,9371.771,392.805,4.403,0.0,4.691
379,9390.39,372.677,6.187,0.0,4.668
380,9381.245,383.174,5.362,0.0,7.39
381,9390.961,374.43,4.823,0.0,4.578
382,9387.608,375.064,6.425,0.0,4.745
383,9371.773,385.879,11.716,0.0,4.555
384,9427.599,332.395,6.351,0.0,4.828
385,9460.39,304.691,6.172,0.0,4.736
386,9445.671,328.45,5.789,0.0,4.766
387,9458.749,305.477,6.542,0.0,4.711
388,9458.991,303.284,6.877,0.0,4.742
389,9456.113,308.349,6.179,0.0,4.535
390,9458.615,306.432,6.332,0.0,4.739
391,9459.706,303.104,7.121,0.0,4.989
392,9458.077,305.831,6.034,0.0,7.206
393,9462.713,302.983,4.333,0.0,7.478
394,9462.048,303.853,4.408,0.0,7.447
395,9462.148,300.75,4.569,0.0,7.325
396,9465.769,300.61,4.75,0.0,7.425
397,9464.507,301.767,4.574,0.0,4.751
398,9460.273,303.854,6.261,0.0,4.613
399,9460.539,301.239,11.336,0.0,7.383
400,9462.046,301.699,10.086,0.0,7.275
401,9461.182,303.998,4.621,0.0,7.33
402,9459.82,305.135,4.236,0.0,7.231
403,9460.559,304.621,5.116,0.0,4.707
404,9460.576,303.202,6.305,0.0,4.595
405,9460.4,303.272,6.291,0.0,7.231
406,9462.827,302.253,4.569,0.0,7.356
407,9463.801,301.765,5.015,0.0,7.887
408,9459.944,304.973,4.614,0.0,7.494
409,9461.361,304.217,3.957,0.0,4.85
410,9462.102,302.495,6.034,42361.507,14.574
